viral_load_matrix	Simulated_populations_two_wave/seir_viral_loads_swab_switch_SEIR_new_1.viral_loads.npz
savepath	designs/individual
start_time	0
end_time	200
LOD	100
loaded viral load matrix with shape (12500000, 201) and 16654585 entries
Time: 0; Case frequency: 0.00000; Efficiency: 1.00; Sensitivity: 1.0000
Time: 25; Case frequency: 0.00008; Efficiency: 1.00; Sensitivity: 0.8372
Time: 26; Case frequency: 0.00009; Efficiency: 1.00; Sensitivity: 0.8367
Time: 27; Case frequency: 0.00010; Efficiency: 1.00; Sensitivity: 0.8357
Time: 28; Case frequency: 0.00011; Efficiency: 1.00; Sensitivity: 0.8371
Time: 29; Case frequency: 0.00012; Efficiency: 1.00; Sensitivity: 0.8550
Time: 30; Case frequency: 0.00013; Efficiency: 1.00; Sensitivity: 0.8531
Time: 31; Case frequency: 0.00014; Efficiency: 1.00; Sensitivity: 0.8534
Time: 32; Case frequency: 0.00015; Efficiency: 1.00; Sensitivity: 0.8525
Time: 33; Case frequency: 0.00017; Efficiency: 1.00; Sensitivity: 0.8610
Time: 34; Case frequency: 0.00018; Efficiency: 1.00; Sensitivity: 0.8588
Time: 35; Case frequency: 0.00020; Efficiency: 1.00; Sensitivity: 0.8547
Time: 36; Case frequency: 0.00022; Efficiency: 1.00; Sensitivity: 0.8457
Time: 37; Case frequency: 0.00023; Efficiency: 1.00; Sensitivity: 0.8432
Time: 38; Case frequency: 0.00026; Efficiency: 1.00; Sensitivity: 0.8459
Time: 39; Case frequency: 0.00028; Efficiency: 1.00; Sensitivity: 0.8435
Time: 40; Case frequency: 0.00030; Efficiency: 1.00; Sensitivity: 0.8464
Time: 41; Case frequency: 0.00033; Efficiency: 1.00; Sensitivity: 0.8534
Time: 42; Case frequency: 0.00035; Efficiency: 1.00; Sensitivity: 0.8527
Time: 43; Case frequency: 0.00039; Efficiency: 1.00; Sensitivity: 0.8429
Time: 44; Case frequency: 0.00042; Efficiency: 1.00; Sensitivity: 0.8451
Time: 45; Case frequency: 0.00046; Efficiency: 1.00; Sensitivity: 0.8445
Time: 46; Case frequency: 0.00051; Efficiency: 1.00; Sensitivity: 0.8488
Time: 47; Case frequency: 0.00055; Efficiency: 1.00; Sensitivity: 0.8484
Time: 48; Case frequency: 0.00060; Efficiency: 1.00; Sensitivity: 0.8490
Time: 49; Case frequency: 0.00065; Efficiency: 1.00; Sensitivity: 0.8454
Time: 50; Case frequency: 0.00071; Efficiency: 1.00; Sensitivity: 0.8419
Time: 51; Case frequency: 0.00077; Efficiency: 1.00; Sensitivity: 0.8395
Time: 52; Case frequency: 0.00085; Efficiency: 1.00; Sensitivity: 0.8440
Time: 53; Case frequency: 0.00092; Efficiency: 1.00; Sensitivity: 0.8519
Time: 54; Case frequency: 0.00100; Efficiency: 1.00; Sensitivity: 0.8528
Time: 55; Case frequency: 0.00109; Efficiency: 1.00; Sensitivity: 0.8541
Time: 56; Case frequency: 0.00120; Efficiency: 1.00; Sensitivity: 0.8525
Time: 57; Case frequency: 0.00131; Efficiency: 1.00; Sensitivity: 0.8545
Time: 58; Case frequency: 0.00142; Efficiency: 1.00; Sensitivity: 0.8502
Time: 59; Case frequency: 0.00155; Efficiency: 1.00; Sensitivity: 0.8504
Time: 60; Case frequency: 0.00169; Efficiency: 1.00; Sensitivity: 0.8503
Time: 61; Case frequency: 0.00183; Efficiency: 1.00; Sensitivity: 0.8475
Time: 62; Case frequency: 0.00200; Efficiency: 1.00; Sensitivity: 0.8485
Time: 63; Case frequency: 0.00217; Efficiency: 1.00; Sensitivity: 0.8464
Time: 64; Case frequency: 0.00235; Efficiency: 1.00; Sensitivity: 0.8472
Time: 65; Case frequency: 0.00256; Efficiency: 1.00; Sensitivity: 0.8480
Time: 66; Case frequency: 0.00279; Efficiency: 1.00; Sensitivity: 0.8472
Time: 67; Case frequency: 0.00302; Efficiency: 1.00; Sensitivity: 0.8436
Time: 68; Case frequency: 0.00329; Efficiency: 1.00; Sensitivity: 0.8428
Time: 69; Case frequency: 0.00357; Efficiency: 1.00; Sensitivity: 0.8440
Time: 70; Case frequency: 0.00389; Efficiency: 1.00; Sensitivity: 0.8443
Time: 71; Case frequency: 0.00424; Efficiency: 1.00; Sensitivity: 0.8437
Time: 72; Case frequency: 0.00462; Efficiency: 1.00; Sensitivity: 0.8448
Time: 73; Case frequency: 0.00503; Efficiency: 1.00; Sensitivity: 0.8458
Time: 74; Case frequency: 0.00548; Efficiency: 1.00; Sensitivity: 0.8466
Time: 75; Case frequency: 0.00596; Efficiency: 1.00; Sensitivity: 0.8485
Time: 76; Case frequency: 0.00649; Efficiency: 1.00; Sensitivity: 0.8484
Time: 77; Case frequency: 0.00706; Efficiency: 1.00; Sensitivity: 0.8487
Time: 78; Case frequency: 0.00768; Efficiency: 1.00; Sensitivity: 0.8474
Time: 79; Case frequency: 0.00831; Efficiency: 1.00; Sensitivity: 0.8484
Time: 80; Case frequency: 0.00894; Efficiency: 1.00; Sensitivity: 0.8483
Time: 81; Case frequency: 0.00958; Efficiency: 1.00; Sensitivity: 0.8490
Time: 82; Case frequency: 0.01020; Efficiency: 1.00; Sensitivity: 0.8486
Time: 83; Case frequency: 0.01077; Efficiency: 1.00; Sensitivity: 0.8466
Time: 84; Case frequency: 0.01126; Efficiency: 1.00; Sensitivity: 0.8456
Time: 85; Case frequency: 0.01168; Efficiency: 1.00; Sensitivity: 0.8409
Time: 86; Case frequency: 0.01199; Efficiency: 1.00; Sensitivity: 0.8363
Time: 87; Case frequency: 0.01221; Efficiency: 1.00; Sensitivity: 0.8297
Time: 88; Case frequency: 0.01234; Efficiency: 1.00; Sensitivity: 0.8190
Time: 89; Case frequency: 0.01243; Efficiency: 1.00; Sensitivity: 0.8072
Time: 90; Case frequency: 0.01246; Efficiency: 1.00; Sensitivity: 0.7941
Time: 91; Case frequency: 0.01243; Efficiency: 1.00; Sensitivity: 0.7810
Time: 92; Case frequency: 0.01238; Efficiency: 1.00; Sensitivity: 0.7649
Time: 93; Case frequency: 0.01227; Efficiency: 1.00; Sensitivity: 0.7505
Time: 94; Case frequency: 0.01213; Efficiency: 1.00; Sensitivity: 0.7361
Time: 95; Case frequency: 0.01196; Efficiency: 1.00; Sensitivity: 0.7217
Time: 96; Case frequency: 0.01178; Efficiency: 1.00; Sensitivity: 0.7088
Time: 97; Case frequency: 0.01156; Efficiency: 1.00; Sensitivity: 0.6996
Time: 98; Case frequency: 0.01133; Efficiency: 1.00; Sensitivity: 0.6911
Time: 99; Case frequency: 0.01108; Efficiency: 1.00; Sensitivity: 0.6848
Time: 100; Case frequency: 0.01084; Efficiency: 1.00; Sensitivity: 0.6826
Time: 101; Case frequency: 0.01059; Efficiency: 1.00; Sensitivity: 0.6814
Time: 102; Case frequency: 0.01035; Efficiency: 1.00; Sensitivity: 0.6836
Time: 103; Case frequency: 0.01012; Efficiency: 1.00; Sensitivity: 0.6886
Time: 104; Case frequency: 0.00990; Efficiency: 1.00; Sensitivity: 0.6954
Time: 105; Case frequency: 0.00971; Efficiency: 1.00; Sensitivity: 0.7023
Time: 106; Case frequency: 0.00952; Efficiency: 1.00; Sensitivity: 0.7094
Time: 107; Case frequency: 0.00936; Efficiency: 1.00; Sensitivity: 0.7139
Time: 108; Case frequency: 0.00922; Efficiency: 1.00; Sensitivity: 0.7185
Time: 109; Case frequency: 0.00909; Efficiency: 1.00; Sensitivity: 0.7223
Time: 110; Case frequency: 0.00898; Efficiency: 1.00; Sensitivity: 0.7250
Time: 111; Case frequency: 0.00889; Efficiency: 1.00; Sensitivity: 0.7256
Time: 112; Case frequency: 0.00879; Efficiency: 1.00; Sensitivity: 0.7279
Time: 113; Case frequency: 0.00870; Efficiency: 1.00; Sensitivity: 0.7279
Time: 114; Case frequency: 0.00862; Efficiency: 1.00; Sensitivity: 0.7271
Time: 115; Case frequency: 0.00852; Efficiency: 1.00; Sensitivity: 0.7280
Time: 116; Case frequency: 0.00843; Efficiency: 1.00; Sensitivity: 0.7275
Time: 117; Case frequency: 0.00834; Efficiency: 1.00; Sensitivity: 0.7265
Time: 118; Case frequency: 0.00825; Efficiency: 1.00; Sensitivity: 0.7267
Time: 119; Case frequency: 0.00817; Efficiency: 1.00; Sensitivity: 0.7259
Time: 120; Case frequency: 0.00808; Efficiency: 1.00; Sensitivity: 0.7257
Time: 121; Case frequency: 0.00799; Efficiency: 1.00; Sensitivity: 0.7257
Time: 122; Case frequency: 0.00791; Efficiency: 1.00; Sensitivity: 0.7235
Time: 123; Case frequency: 0.00782; Efficiency: 1.00; Sensitivity: 0.7238
Time: 124; Case frequency: 0.00772; Efficiency: 1.00; Sensitivity: 0.7238
Time: 125; Case frequency: 0.00762; Efficiency: 1.00; Sensitivity: 0.7227
Time: 126; Case frequency: 0.00753; Efficiency: 1.00; Sensitivity: 0.7207
Time: 127; Case frequency: 0.00744; Efficiency: 1.00; Sensitivity: 0.7213
Time: 128; Case frequency: 0.00733; Efficiency: 1.00; Sensitivity: 0.7221
Time: 129; Case frequency: 0.00723; Efficiency: 1.00; Sensitivity: 0.7229
Time: 130; Case frequency: 0.00715; Efficiency: 1.00; Sensitivity: 0.7215
Time: 131; Case frequency: 0.00706; Efficiency: 1.00; Sensitivity: 0.7222
Time: 132; Case frequency: 0.00697; Efficiency: 1.00; Sensitivity: 0.7226
Time: 133; Case frequency: 0.00689; Efficiency: 1.00; Sensitivity: 0.7224
Time: 134; Case frequency: 0.00680; Efficiency: 1.00; Sensitivity: 0.7213
Time: 135; Case frequency: 0.00671; Efficiency: 1.00; Sensitivity: 0.7203
Time: 136; Case frequency: 0.00661; Efficiency: 1.00; Sensitivity: 0.7181
Time: 137; Case frequency: 0.00652; Efficiency: 1.00; Sensitivity: 0.7184
Time: 138; Case frequency: 0.00642; Efficiency: 1.00; Sensitivity: 0.7182
Time: 139; Case frequency: 0.00633; Efficiency: 1.00; Sensitivity: 0.7193
Time: 140; Case frequency: 0.00623; Efficiency: 1.00; Sensitivity: 0.7183
Time: 141; Case frequency: 0.00613; Efficiency: 1.00; Sensitivity: 0.7189
Time: 142; Case frequency: 0.00605; Efficiency: 1.00; Sensitivity: 0.7198
Time: 143; Case frequency: 0.00596; Efficiency: 1.00; Sensitivity: 0.7197
Time: 144; Case frequency: 0.00588; Efficiency: 1.00; Sensitivity: 0.7199
Time: 145; Case frequency: 0.00578; Efficiency: 1.00; Sensitivity: 0.7201
Time: 146; Case frequency: 0.00570; Efficiency: 1.00; Sensitivity: 0.7194
Time: 147; Case frequency: 0.00562; Efficiency: 1.00; Sensitivity: 0.7183
Time: 148; Case frequency: 0.00555; Efficiency: 1.00; Sensitivity: 0.7193
Time: 149; Case frequency: 0.00548; Efficiency: 1.00; Sensitivity: 0.7173
Time: 150; Case frequency: 0.00543; Efficiency: 1.00; Sensitivity: 0.7161
Time: 151; Case frequency: 0.00539; Efficiency: 1.00; Sensitivity: 0.7192
Time: 152; Case frequency: 0.00539; Efficiency: 1.00; Sensitivity: 0.7181
Time: 153; Case frequency: 0.00542; Efficiency: 1.00; Sensitivity: 0.7227
Time: 154; Case frequency: 0.00547; Efficiency: 1.00; Sensitivity: 0.7271
Time: 155; Case frequency: 0.00554; Efficiency: 1.00; Sensitivity: 0.7339
Time: 156; Case frequency: 0.00565; Efficiency: 1.00; Sensitivity: 0.7419
Time: 157; Case frequency: 0.00577; Efficiency: 1.00; Sensitivity: 0.7509
Time: 158; Case frequency: 0.00593; Efficiency: 1.00; Sensitivity: 0.7585
Time: 159; Case frequency: 0.00612; Efficiency: 1.00; Sensitivity: 0.7665
Time: 160; Case frequency: 0.00633; Efficiency: 1.00; Sensitivity: 0.7738
Time: 161; Case frequency: 0.00655; Efficiency: 1.00; Sensitivity: 0.7814
Time: 162; Case frequency: 0.00679; Efficiency: 1.00; Sensitivity: 0.7896
Time: 163; Case frequency: 0.00704; Efficiency: 1.00; Sensitivity: 0.7963
Time: 164; Case frequency: 0.00731; Efficiency: 1.00; Sensitivity: 0.8014
Time: 165; Case frequency: 0.00757; Efficiency: 1.00; Sensitivity: 0.8066
Time: 166; Case frequency: 0.00787; Efficiency: 1.00; Sensitivity: 0.8074
Time: 167; Case frequency: 0.00818; Efficiency: 1.00; Sensitivity: 0.8076
Time: 168; Case frequency: 0.00850; Efficiency: 1.00; Sensitivity: 0.8077
Time: 169; Case frequency: 0.00883; Efficiency: 1.00; Sensitivity: 0.8067
Time: 170; Case frequency: 0.00917; Efficiency: 1.00; Sensitivity: 0.8061
Time: 171; Case frequency: 0.00951; Efficiency: 1.00; Sensitivity: 0.8044
Time: 172; Case frequency: 0.00987; Efficiency: 1.00; Sensitivity: 0.8021
Time: 173; Case frequency: 0.01020; Efficiency: 1.00; Sensitivity: 0.8002
Time: 174; Case frequency: 0.01057; Efficiency: 1.00; Sensitivity: 0.7981
Time: 175; Case frequency: 0.01094; Efficiency: 1.00; Sensitivity: 0.7963
Time: 176; Case frequency: 0.01131; Efficiency: 1.00; Sensitivity: 0.7956
Time: 177; Case frequency: 0.01169; Efficiency: 1.00; Sensitivity: 0.7939
Time: 178; Case frequency: 0.01207; Efficiency: 1.00; Sensitivity: 0.7926
Time: 179; Case frequency: 0.01245; Efficiency: 1.00; Sensitivity: 0.7913
Time: 180; Case frequency: 0.01286; Efficiency: 1.00; Sensitivity: 0.7905
Time: 181; Case frequency: 0.01326; Efficiency: 1.00; Sensitivity: 0.7912
Time: 182; Case frequency: 0.01367; Efficiency: 1.00; Sensitivity: 0.7913
Time: 183; Case frequency: 0.01410; Efficiency: 1.00; Sensitivity: 0.7912
Time: 184; Case frequency: 0.01453; Efficiency: 1.00; Sensitivity: 0.7899
Time: 185; Case frequency: 0.01500; Efficiency: 1.00; Sensitivity: 0.7900
Time: 186; Case frequency: 0.01547; Efficiency: 1.00; Sensitivity: 0.7905
Time: 187; Case frequency: 0.01595; Efficiency: 1.00; Sensitivity: 0.7912
Time: 188; Case frequency: 0.01643; Efficiency: 1.00; Sensitivity: 0.7916
Time: 189; Case frequency: 0.01695; Efficiency: 1.00; Sensitivity: 0.7913
Time: 190; Case frequency: 0.01749; Efficiency: 1.00; Sensitivity: 0.7893
Time: 191; Case frequency: 0.01805; Efficiency: 1.00; Sensitivity: 0.7894
Time: 192; Case frequency: 0.01861; Efficiency: 1.00; Sensitivity: 0.7889
Time: 193; Case frequency: 0.01917; Efficiency: 1.00; Sensitivity: 0.7883
Time: 194; Case frequency: 0.01976; Efficiency: 1.00; Sensitivity: 0.7884
Time: 195; Case frequency: 0.02037; Efficiency: 1.00; Sensitivity: 0.7897
Time: 196; Case frequency: 0.02100; Efficiency: 1.00; Sensitivity: 0.7895
Time: 197; Case frequency: 0.02164; Efficiency: 1.00; Sensitivity: 0.7888
Time: 198; Case frequency: 0.02231; Efficiency: 1.00; Sensitivity: 0.7889
Time: 199; Case frequency: 0.02296; Efficiency: 1.00; Sensitivity: 0.7896
Time: 200; Case frequency: 0.02366; Efficiency: 1.00; Sensitivity: 0.7888
